Sensor Name,MSE Holt-Winters,MAPE Holt-Winters,MSE Linear Regression,MAPE Linear Regression,MSE XGBoost,MAPE XGBoost,MSE LSTM,MAPE LSTM
PER_AIRMON_MESH1907150,0.847,16.759,2.789,29.357,1.823,28.908,33.542,1.324
PER_AIRMON_MESH1915150,0.009,3.445,0.003,1.355,0.004,1.429,0.003,1.751
PER_AIRMON_MESH1916150,17.027,1.249,13.356,38.836,38.84,1.949,17.685,1.297
PER_AIRMON_MESH1919150,13.296,52.013,1.984,13.616,0.947,1.211,0.902,3.159
PER_AIRMON_MESH1921150,9048.746,86.545,2.885,47.984,9.097,2.788,5.824,1.338
PER_AIRMON_MESH1922150,31834.216,93.16,2163.241,17.422,18221.604,64.345,3508.58,25.607
PER_AIRMON_MESH1957150,0.113,37.389,0.245,50.72,0.503,336.857,0.329,108.682
PER_AIRMON_MESH1965150,1.828,49.931,1.326,20.549,3.353,69.513,30.055,2.077
PER_AIRMON_MESH1966150,0.013,84.209,0.015,56.376,0.011,1.419,0.59,22.194
PER_AIRMON_MESH1968150,1859.331,23.142,1.365,48.898,2.129,87.093,1.557,71.601
PER_AIRMON_MESH1970150,23.313,83.687,28.433,37.893,65.59,1.58,18.922,40.295
PER_AIRMON_MESH1971150,0.001,5.89,0.001,3.251,0.005,13.387,0.001,1.005
PER_AIRMON_MESH300245,32.081,11.528,18.929,3.158,74.958,18.964,108.026,23.063
PER_AIRMON_MESH303245,142.865,3.335,61.582,59.528,291.7,4.779,60.046,56.978
PER_AIRMON_MESH306245,296.847,4.641,30.108,49.251,185.394,3.677,17.542,39.193
PER_AIRMON_MESH307245,10.597,1.788,7.125,1.504,6.476,1.777,51.217,4.888
PER_AIRMON_MONITOR1048100,73.806,1.933,79.275,50.772,89.192,2.325,137.568,1.494
PER_AIRMON_MONITOR1056100,89.894,2.648,78.78,56.55,88.245,2.667,428.536,6.305
PER_AIRMON_MONITOR1135100,88.857,2.388,71.147,53.226,109.764,2.774,108.015,2.677
PER_AIRMON_MONITOR1156100,1711.934,12.457,87.0,52.513,91.545,2.53,165.104,3.661
PER_AIRMON_MONITOR1157100,20750.844,35.206,69.264,48.755,96.235,2.288,51.034,63.342
PER_AIRMON_MONITOR914,94.807,2.274,66.441,48.121,105.974,2.453,68.102,51.4
PER_TTN_AIRQUALITY004,39124.98,41.067,72.491,56.182,105.629,2.199,55.51,61.15
PER_TTN_AIRQUALITY012,62.715,1.415,77.501,58.151,113.293,2.116,84.512,62.162
